subnum,year,placeval,ravens,wiat,woodcock,arith,wholegroupsums,abacus,age,female,condition,verbalwm,spatialwm,english,math,science,computer,music,art,phys.ed,attendance,mental.rot,ordinality,deviance,cov,linslope,linr2,logr2,averagegrades,ans
161,0,0.181818182,0.583333333,0.12,0.093023256,0.083333333,NA,1,7.3,0,abacus,3.62,3.46,88,91,96,86,86,86,76,246,0.385416667,NA,NA,NA,NA,NA,NA,86.33333333,8
162,0,0.181818182,0.333333333,0.16,0.302325581,0.083333333,NA,0,7.2,0,control,2.33,1.25,78,89,89,78,84,84,85,235,0.21875,NA,NA,NA,NA,NA,NA,83,9
163,0,0.363636364,0.666666667,0.2,0.279069767,0.25,NA,0,6.1,1,control,4.46,2.75,91,92,98,78,87,92,75,245,0.208333333,NA,NA,NA,NA,NA,NA,86.83333333,6
164,0,0.454545455,0.583333333,NA,0.162790698,0.104166667,NA,0,7.1,1,control,3.71,4.79,80,98,92,94,91,92,76,247,0.677083333,NA,NA,NA,NA,NA,NA,87.5,8
165,0,0.454545455,0.916666667,0.16,0.279069767,0.1875,NA,0,6.2,0,control,2.96,4.58,73,91,72,88,91,90,81,242,0.375,NA,NA,NA,NA,NA,NA,82.5,11
167,0,0.272727273,0.583333333,0.12,0.162790698,0.104166667,NA,1,6.4,0,abacus,1.29,1.25,82,90,92,84,91,86,86,250,0.375,NA,NA,NA,NA,NA,NA,86.83333333,9
169,0,0.454545455,0.5,0.2,0.23255814,0.1875,NA,0,8.5,1,control,3.12,3.58,81,86,93,78,91,82,76,239,0.239583333,NA,NA,NA,NA,NA,NA,83.5,7
170,0,0.363636364,0.5,0.04,0.162790698,0.166666667,NA,0,6.1,1,control,4.21,1.75,82,85,86,76,86,92,75,238,0.208333333,NA,NA,NA,NA,NA,NA,82.83333333,7
171,0,0.454545455,NA,0.12,0.209302326,0.1875,NA,1,6.8,0,abacus,1.12,1.21,86,88,85,70,89,84,86,250,0.197916667,NA,NA,NA,NA,NA,NA,83.33333333,9
172,0,0.181818182,0.166666667,0.12,0.255813953,0.145833333,NA,1,6.5,0,abacus,1.67,1.67,79,91,86,70,89,90,75,230,0.145833333,NA,NA,NA,NA,NA,NA,81.5,8
173,0,0.454545455,0.833333333,0.16,0.302325581,0.208333333,NA,1,6.5,0,abacus,4.25,3.88,92,89,98,92,85,92,75,235,0.510416667,NA,NA,NA,NA,NA,NA,89,9
174,0,0.272727273,0.416666667,0.2,0.279069767,0.125,NA,0,7.4,0,control,3.38,3.75,86,98,93,86,88,88,76,244,0.395833333,NA,NA,NA,NA,NA,NA,86.16666667,7
176,0,0.363636364,0.666666667,0.08,0.209302326,0.083333333,NA,0,6.1,1,control,2.75,1.58,67,82,80,70,91,84,76,241,0.229166667,NA,NA,NA,NA,NA,NA,78,10
177,0,0.363636364,0.583333333,0.12,0.139534884,0.083333333,NA,0,6.5,0,control,2.79,1.12,63,86,77,82,80,86,80,244,0.385416667,NA,NA,NA,NA,NA,NA,78,7
178,0,0.272727273,0.416666667,0.2,0.209302326,0.125,NA,1,7.5,1,abacus,2.96,2.33,75,89,80,76,88,84,80,233,0.114583333,NA,NA,NA,NA,NA,NA,80.5,6
179,0,0.363636364,0.75,0.16,0.255813953,0.1875,NA,1,6.3,1,abacus,4.71,4.29,88,88,89,88,91,88,76,246,0.25,NA,NA,NA,NA,NA,NA,86.66666667,10
180,0,0.545454545,0.583333333,0.24,0.302325581,0.291666667,NA,1,6.2,1,abacus,4.67,4.04,83,95,91,86,91,88,75,234,0.229166667,NA,NA,NA,NA,NA,NA,85.66666667,9
181,0,0.181818182,0.916666667,0.24,0.23255814,0.1875,NA,1,6.9,0,abacus,3.75,4.83,92,92,93,92,91,86,75,248,0.614583333,NA,NA,NA,NA,NA,NA,88.16666667,12
182,0,0,0.333333333,0.08,0.279069767,0.083333333,NA,0,6.3,1,control,2.38,1.71,80,88,91,90,91,86,76,244,0.0625,NA,NA,NA,NA,NA,NA,85.66666667,13
183,0,0.363636364,0.5,0.04,0.186046512,0.1875,NA,1,6.4,0,abacus,2.46,3.29,95,93,99,78,85,84,80,244,NA,NA,NA,NA,NA,NA,NA,86.83333333,9
184,0,0.181818182,0.416666667,0.2,0.162790698,0.25,NA,1,7.5,0,abacus,3.71,1.71,88,90,93,88,85,84,84,246,0.427083333,NA,NA,NA,NA,NA,NA,87,6
186,0,0.272727273,0.5,0.08,0.186046512,0.145833333,NA,1,6.2,0,abacus,2.75,2.5,40,55,49,64,84,86,75,225,NA,NA,NA,NA,NA,NA,NA,66.33333333,9
187,0,0.272727273,0.333333333,0.04,0.23255814,0.104166667,NA,1,6.1,1,abacus,1.38,1.17,44,66,58,80,91,86,79,234,0.072916667,NA,NA,NA,NA,NA,NA,73,8
188,0,0.272727273,0.666666667,0.16,0.23255814,0.104166667,NA,0,7,1,control,3.75,2.29,77,92,86,98,89,90,76,243,NA,NA,NA,NA,NA,NA,NA,86,9
189,0,0.272727273,0.916666667,0.08,0.279069767,0.145833333,NA,0,7,0,control,3.12,4.42,89,93,97,90,91,90,80,250,0.479166667,NA,NA,NA,NA,NA,NA,89.5,13
190,0,0.272727273,0.666666667,0.2,0.162790698,0.145833333,NA,1,7,1,abacus,2.71,4.46,88,94,93,70,89,88,79,249,0.614583333,NA,NA,NA,NA,NA,NA,84.5,13
192,0,0.363636364,0.5,0.12,0.209302326,0.125,NA,0,7,0,control,3.04,2.67,62,90,61,86,91,86,80,248,0.21875,NA,NA,NA,NA,NA,NA,77.66666667,13
193,0,0.181818182,0.75,0.12,0.279069767,0.104166667,NA,1,8.1,0,abacus,2.29,1.54,63,81,78,74,84,86,85,231,0.40625,NA,NA,NA,NA,NA,NA,78.33333333,11
194,0,0.181818182,0.583333333,0.08,0.186046512,0.0625,NA,1,6,0,abacus,2.42,1.62,73,83,85,82,89,86,75,246,NA,NA,NA,NA,NA,NA,NA,81.66666667,8
195,0,0.272727273,0.083333333,0.32,0.302325581,0.291666667,NA,1,6.7,1,abacus,3.38,3.75,87,96,94,86,88,92,81,240,-0.197916667,NA,NA,NA,NA,NA,NA,88,14
196,0,0.363636364,0.333333333,0.04,0.302325581,0.0625,NA,0,6,0,control,3.71,1.25,97,97,100,78,88,86,76,248,0.104166667,NA,NA,NA,NA,NA,NA,87.5,7
198,0,NA,0.166666667,0.12,0.11627907,0.104166667,NA,0,5.8,0,control,1.96,1.25,60,69,78,74,90,84,75,243,0.322916667,NA,NA,NA,NA,NA,NA,76.83333333,7
199,0,0.090909091,0.583333333,0.12,0.23255814,0.25,NA,0,7.5,0,control,3.21,1.92,63,84,81,58,91,86,74,246,0.25,NA,NA,NA,NA,NA,NA,75.5,8
200,0,0.181818182,0.666666667,0.08,0.186046512,0.166666667,NA,1,7.1,0,abacus,1.29,1.12,56,71,63,64,88,90,80,246,-0.0625,NA,NA,NA,NA,NA,NA,73.5,7
201,0,0.363636364,0.083333333,NA,0.255813953,NA,NA,0,7,0,control,2.67,2.54,75,87,80,82,89,88,76,242,0.0625,NA,NA,NA,NA,NA,NA,81.66666667,8
202,0,0.181818182,0.5,0.16,0.209302326,0.104166667,NA,1,6.6,1,abacus,2.08,1.38,82,90,85,80,91,90,81,250,0.239583333,NA,NA,NA,NA,NA,NA,84.83333333,11
203,0,0.090909091,NA,0.16,0.186046512,0.083333333,NA,1,7,0,abacus,1.25,1.21,81,84,88,86,91,86,76,247,0.083333333,NA,NA,NA,NA,NA,NA,84.66666667,9
204,0,0.363636364,0.583333333,0.12,0.186046512,0.0625,NA,1,6.5,0,abacus,3.83,3.92,94,99,99,96,90,86,80,241,0.354166667,NA,NA,NA,NA,NA,NA,90.83333333,7
205,0,0.272727273,0.5,0.12,0.11627907,0.083333333,NA,1,5.7,0,abacus,1.54,2.25,68,79,84,68,89,84,76,242,0.1875,NA,NA,NA,NA,NA,NA,78.16666667,7
206,0,0,0.166666667,0.2,0.255813953,0.166666667,NA,1,6.8,0,abacus,3.58,3.12,58,79,73,84,89,86,79,243,0.15625,NA,NA,NA,NA,NA,NA,78.16666667,8
207,0,0.454545455,0.083333333,0.16,0.279069767,0.270833333,NA,1,6.8,0,abacus,3.58,3.08,88,98,97,86,90,84,85,244,0.479166667,NA,NA,NA,NA,NA,NA,88.33333333,10
208,0,0.090909091,0.166666667,0.2,0.186046512,0.125,NA,0,6.8,1,control,1.83,3.5,65,79,76,80,84,90,80,244,0.270833333,NA,NA,NA,NA,NA,NA,79.16666667,9
209,0,0.545454545,0.833333333,0.12,0.186046512,0.125,NA,1,6.8,0,abacus,3.08,3.29,NA,NA,NA,NA,NA,NA,NA,NA,0.395833333,NA,NA,NA,NA,NA,NA,NA,9
210,0,0.545454545,0.666666667,0.04,0.186046512,0.104166667,NA,0,5.7,0,control,2.88,1.58,NA,NA,NA,NA,NA,NA,NA,NA,0.458333333,NA,NA,NA,NA,NA,NA,NA,6
211,0,0.272727273,0.333333333,0.2,0.279069767,0.25,NA,0,NA,NA,control,4.79,3.21,NA,NA,NA,NA,NA,NA,NA,NA,0.333333333,NA,NA,NA,NA,NA,NA,NA,9
212,0,0.363636364,0.583333333,0.24,0.302325581,0.145833333,NA,0,NA,NA,control,3,3.33,NA,NA,NA,NA,NA,NA,NA,NA,0.375,NA,NA,NA,NA,NA,NA,NA,NA
213,0,0.363636364,0.083333333,0.16,0.23255814,0.125,NA,0,NA,NA,control,1.25,1.83,NA,NA,NA,NA,NA,NA,NA,NA,0.354166667,NA,NA,NA,NA,NA,NA,NA,8
215,0,NA,0.25,0.12,0.186046512,0.145833333,NA,0,NA,NA,control,3,2.38,NA,NA,NA,NA,NA,NA,NA,NA,0.1875,NA,NA,NA,NA,NA,NA,NA,10
1,1,0.545454545,0.416666667,0.48,0.395348837,0.354166667,NA,1,6.4,0,abacus,4.21,3.71,98,98,99,87,74,86,87,233,0.46875,0.8,0.38,0.58,0.6,0.56,0.52,88.5,13
4,1,0.272727273,0.916666667,0.28,0.279069767,0.125,NA,0,7.5,0,control,3.04,2.96,51,69,67,62,93,92,88,228,0.385416667,0.73,0.89,1.02,0.649350649,0.25,0.16,75.5,12
5,1,0.454545455,0.333333333,0.2,0.255813953,0.083333333,NA,0,7.3,0,control,3.79,2.42,58,74,69,61,80,88,87,217,0.541666667,0.82,0.46,0.49,0.65,0.58,0.53,73.83333333,12
6,1,0,0.5,0.08,0.162790698,0.0625,NA,0,6.9,0,control,2.33,2.04,43,37,50,51,79,86,89,221,0.333333333,0.63,1.09,0.53,0.31,0.25,0.25,66.33333333,12
8,1,0.090909091,0.166666667,0.12,0.255813953,0,NA,0,5.9,1,control,2.75,1.25,80,64,86,70,83,86,88,229,0.270833333,1,0.35,0.33,0.869565217,0.91,0.88,82.16666667,7
12,1,0.545454545,0.916666667,0.2,0.302325581,0.1875,NA,0,6.5,0,control,3.38,3,96,96,99,90,84,94,88,230,0.625,0.74,0.5,0.58,0.27,0.35,0.4,91.83333333,12
13,1,1,0.75,0.64,0.441860465,0.416666667,NA,1,6.2,0,abacus,4.67,4.04,98,100,100,89,80,82,87,237,0.5625,0.88,0.41,0.52,0.78,0.69,0.59,89.33333333,13
15,1,0.909090909,0.583333333,0.28,0.279069767,0.1875,NA,0,7.1,1,control,2.67,3.54,94,87,98,69,83,86,88,231,0.291666667,0.84,0.55,0.66,0.81,0.54,0.45,86.33333333,10
16,1,0,1,0.28,0.372093023,0.208333333,NA,1,7.1,0,abacus,4.5,3.25,70,79,87,57,75,90,87,223,0.583333333,0.88,0.54,0.27,0.23,0.37,0.33,77.66666667,15
19,1,0,0.916666667,0.2,0.302325581,0.104166667,NA,0,5.8,0,control,2.54,3.96,63,74,57,57,81,86,87,232,0.541666667,0.74,1.17,1.27,0.840336134,0.3,0.21,71.83333333,8
23,1,0,0.25,0.24,0.255813953,0.166666667,NA,1,6.9,0,abacus,1.62,3.21,73,82,73,59,80,82,86,234,0.135416667,0.79,0.88,0.75,0.99,0.18,0.21,75.5,12
24,1,0.363636364,0.583333333,0.28,0.325581395,0.229166667,NA,1,6.9,1,abacus,3.21,4.5,98,96,99,88,84,92,86,217,0.5,0.81,0.4,0.44,0.31,0.69,0.63,91.16666667,16
26,1,0.909090909,0.916666667,0.52,0.372093023,0.4375,NA,0,7.7,0,control,2.58,3.5,96,92,98,67,81,88,86,227,0.65625,0.7,0.68,0.55,0.67,0.48,0.52,86,12
27,1,0,0.083333333,0.2,0.255813953,0.083333333,NA,0,6.3,1,control,3.42,3.42,60,73,71,35,85,82,88,228,0.052083333,0.78,0.49,0.66,0.49,0.55,0.46,70.16666667,13
30,1,0.181818182,0.833333333,0.28,0.302325581,0.270833333,NA,0,6.5,0,control,3.5,3.83,92,90,99,79,84,88,85,234,0.645833333,0.81,0.43,0.69,0.42,0.35,0.45,87.83333333,10
33,1,0.454545455,0.5,0.36,0.348837209,0.083333333,NA,1,6.9,1,abacus,5.46,3.71,87,81,86,71,84,88,89,189,0.208333333,0.84,0.56,0.88,0.31,0.21,0.21,84.16666667,13
37,1,0.272727273,0.583333333,0.36,0.325581395,0.25,NA,0,7.5,0,control,3.08,3,90,96,100,68,89,90,87,227,0.166666667,0.8,0.56,0.51,0.88,0.6,0.62,87.33333333,13
38,1,0,0.25,0.2,0.279069767,0.270833333,NA,1,7.1,0,abacus,2.75,3.71,83,91,97,73,79,84,86,220,0.416666667,NA,NA,NA,NA,NA,NA,83.66666667,NA
39,1,0.272727273,0.833333333,0.24,0.372093023,0.208333333,NA,1,7.2,0,abacus,4.21,2.88,98,97,100,87,83,88,88,235,0.4375,0.77,0.77,0.71,0.57,0.15,0.19,90.66666667,11
41,1,0,NA,0.32,0.325581395,0.0625,NA,0,6.2,0,control,3.21,2.38,73,83,95,64,85,86,88,205,0.416666667,0.75,0.54,0.53,0.56,0.4,0.48,81.83333333,12
43,1,0.545454545,NA,0.2,0.302325581,0.270833333,NA,1,5.7,0,abacus,3.46,3.88,92,97,97,83,80,82,86,236,0.489583333,0.84,0.44,0.72,0.31,0.14,0.17,86.66666667,10
44,1,0.363636364,0.166666667,0.28,0.279069767,0.208333333,NA,1,6.1,1,abacus,4.12,3.96,97,93,97,82,74,86,88,223,0.083333333,0.8,0.6,0.82,0.52,0.45,0.41,87.33333333,14
45,1,0,0.666666667,0.28,0.255813953,0.104166667,NA,0,6.2,0,control,4.5,3.5,55,67,67,44,87,88,85,190,0.458333333,0.81,0.82,0.84,0.833333333,0.34,0.28,71,14
48,1,0.636363636,0.5,0.36,0.302325581,0.1875,NA,1,7.1,0,abacus,5.54,3.96,93,94,97,60,79,85,89,230,0.395833333,0.87,0.53,0.67,0.86,0.56,0.45,83.83333333,13
49,1,0.272727273,0.333333333,0.24,0.325581395,0.145833333,NA,1,6.4,0,abacus,2.5,2.83,64,68,60,68,81,82,85,236,0.3125,0.78,0.67,0.78,0.806451613,0.25,0.2,73.33333333,13
50,1,0.363636364,0.75,0.44,0.348837209,0.25,NA,1,6.1,0,abacus,3.71,3.21,92,96,99,81,81,86,85,235,0.354166667,0.8,0.5,0.81,0.53,0.2,0.2,87.33333333,11
51,1,0,0.166666667,0.12,0.302325581,0.208333333,NA,1,5.6,0,abacus,2.67,2.67,91,82,98,72,75,86,84,238,0.270833333,0.75,1.05,1.14,0.840336134,0.23,0.2,84.33333333,9
52,1,0.454545455,0.916666667,0.32,0.325581395,0.145833333,NA,1,5.9,1,abacus,4.71,3.92,49,74,50,49,82,82,87,230,0.53125,0.72,1.2,1.06,0.82,0.12,0.15,66.5,9
56,1,0,0.25,0.2,0.279069767,0.125,NA,1,7.2,0,abacus,2.54,1.79,75,71,73,60,93,86,86,237,0.135416667,0.69,1.02,1.1,0.819672131,0.18,0.14,78.83333333,16
58,1,0.909090909,0.833333333,0.44,0.372093023,0.145833333,NA,0,6.3,1,control,4.08,3.12,94,96,96,82,84,90,88,228,0.427083333,0.77,0.88,1.01,0.93,0.18,0.16,89,11
59,1,0.090909091,0.5,0.12,0.209302326,0.041666667,NA,0,7.9,0,control,3.83,2.88,61,52,67,60,85,80,87,230,0.197916667,0.88,1.84,0.48,0.568181818,0.36,0.31,73.33333333,6
60,1,0.272727273,0.666666667,0.24,0.279069767,0.104166667,NA,1,6.6,0,abacus,4.17,6.12,81,84,91,68,76,88,87,218,0.104166667,0.79,0.89,0.7,0.99,0.28,0.29,81.83333333,12
65,1,0.090909091,0.416666667,0.16,0.302325581,0.229166667,NA,1,6.8,1,abacus,5.17,3.54,96,89,97,80,79,90,87,206,0.520833333,0.87,0.41,0.44,0.36,0.66,0.55,88.16666667,13
67,1,0,0.083333333,0.16,0.279069767,0,NA,0,6.3,0,control,3.17,1.62,43,49,35,61,80,90,84,229,0.15625,0.73,0.54,0.83,0.34,0.29,0.33,65.5,11
68,1,0,0.833333333,0.32,0.395348837,0.208333333,NA,0,6.3,1,control,3.12,4.46,83,87,95,81,85,90,88,222,0.479166667,0.63,1.01,0.86,0.54,0.27,0.26,87,12
69,1,0.090909091,0.666666667,0.36,0.418604651,0.125,NA,0,7.2,0,control,3.67,3.38,86,89,94,65,84,84,87,226,0.5625,0.88,1.1,0.44,0.77,0.36,0.54,83.33333333,12
70,1,0,0.583333333,0.24,0.302325581,0.083333333,NA,1,6.7,1,abacus,3.12,2.54,89,83,92,72,80,86,85,230,0.447916667,0.59,2.4,0.52,0.531914894,0.21,0.16,84,8
71,1,0.090909091,0.666666667,0.32,0.302325581,0.208333333,NA,1,7.1,1,abacus,3.75,4.96,92,89,99,81,84,90,88,232,0.677083333,0.75,0.88,1.21,0.71,0.13,0.12,89,8
72,1,0.272727273,0.75,0.4,0.348837209,0.229166667,NA,1,7.2,1,abacus,3.88,3.58,85,89,100,86,78,88,85,222,0.3125,0.84,0.23,0.38,0.68,0.67,0.67,87,15
74,1,0.545454545,0.583333333,0.28,0.348837209,0.145833333,NA,0,6.4,0,control,4.38,4.08,93,91,98,53,80,82,86,235,0.125,0.83,0.38,0.7,0.32,0.42,0.43,82,8
75,1,0.818181818,1,0.4,0.348837209,0.208333333,NA,1,7.5,1,abacus,5.21,2.71,96,97,99,46,83,86,85,221,0.28125,0.83,0.46,0.41,0.41,0.59,0.6,82.5,12
76,1,0.454545455,0.666666667,0.36,0.325581395,0.25,NA,0,6.8,1,control,3.88,3,93,94,98,84,87,88,86,233,0.40625,0.69,0.53,0.52,0.62,0.38,0.3,89.33333333,10
80,1,0,0.333333333,0.2,0.255813953,0.083333333,NA,0,7.1,0,control,2.79,2,77,72,87,61,77,84,85,234,0.270833333,0.79,1.01,0.69,0.787401575,0.23,0.3,78.5,10
81,1,0.454545455,0.416666667,0.24,0.302325581,0.208333333,NA,1,6.7,1,abacus,3.38,2.92,73,76,89,50,77,84,87,220,0.0625,0.9,0.9,1.02,0.66,0.09,0.12,76.66666667,6
83,1,0,0.25,0.12,0.209302326,0.083333333,NA,0,6.8,0,control,3.25,1.62,36,60,43,50,82,84,86,218,0.208333333,0.73,0.84,0.71,0.729927007,0.32,0.21,63.5,9
86,1,0.090909091,0.5,0.36,0.325581395,0.125,NA,0,6.6,0,control,2.75,3.04,74,83,81,68,76,86,87,234,0.3125,0.76,0.86,0.63,0.763358779,0.15,0.1,78.66666667,10
87,1,0.363636364,0.666666667,0.32,0.302325581,0.104166667,NA,0,7,1,control,3.79,4.04,78,85,90,61,84,88,84,224,0.364583333,0.68,0.99,0.84,0.480769231,0.29,0.22,80.83333333,11
89,1,0.818181818,0.916666667,0.44,0.395348837,0.125,NA,0,7.4,0,control,3.46,4.88,88,88,96,84,88,88,87,233,0.583333333,0.73,0.89,0.9,0.45,0.18,0.21,88.5,13
90,1,0.090909091,0.75,0.28,0.325581395,0.0625,NA,0,6.8,0,control,2.83,1.96,74,74,80,65,79,92,85,229,0.197916667,0.77,1.21,0.76,0.421940928,0.31,0.19,79.16666667,12
92,1,0.363636364,0.75,0.28,0.325581395,0.083333333,NA,1,6.1,0,abacus,6.38,3.21,94,95,98,86,80,84,86,235,0.71875,0.77,0.44,0.72,0.44,0.26,0.37,88,13
94,1,0,NA,0.24,0.279069767,0.125,NA,0,6.8,0,control,3.96,3.08,73,78,87,74,77,90,88,216,0.166666667,0.72,1.39,1.19,0.393700787,0.27,0.2,81.5,11
96,1,0.909090909,0.666666667,0.32,0.395348837,0.125,NA,0,7.3,1,control,4.67,4.25,93,92,98,73,82,82,87,239,0.125,0.84,0.61,0.73,0.59,0.36,0.44,85.83333333,9
97,1,0.363636364,0.75,0.4,0.372093023,0.270833333,NA,1,7.4,0,abacus,6,3.04,92,92,98,78,77,90,90,232,0.333333333,0.83,0.58,0.79,0.72,0.26,0.3,87.5,14
98,1,0.363636364,0.75,0.48,0.325581395,0.125,NA,0,6.1,1,control,3.75,3.83,96,96,100,82,83,86,84,236,0.5625,0.81,0.44,0.69,0.61,0.54,0.4,88.5,10
99,1,1,0.666666667,0.44,0.372093023,0.208333333,NA,1,6.8,0,abacus,4.08,4.17,94,94,100,80,81,82,89,233,0.239583333,0.75,0.93,0.82,0.666666667,0.27,0.25,87.66666667,11
100,1,0.363636364,0.583333333,0.48,0.441860465,0.208333333,NA,0,6.8,0,control,4.25,2.96,93,97,99,70,79,86,84,240,0.791666667,0.75,0.85,0.63,0.93,0.51,0.52,85.16666667,12
102,1,0.181818182,0.75,0.32,0.348837209,0.25,NA,1,7,0,abacus,4,3.79,92,86,97,72,80,86,88,227,0.635416667,0.64,1.13,0.6,0.892857143,0.44,0.39,85.83333333,7
105,1,0,0.5,0.28,0.279069767,0.0625,NA,1,6.8,1,abacus,4.04,2.83,52,69,60,57,77,86,86,236,0.21875,0.77,0.59,0.19,0.07,0.48,0.57,69.66666667,12
107,1,0.181818182,0.5,0.28,0.325581395,0.229166667,NA,1,6.4,1,abacus,3.46,3.17,84,88,87,73,84,88,89,235,0.520833333,0.97,0.39,0.28,0.27,0.75,0.81,84.16666667,16
108,1,0.090909091,0.666666667,0.4,0.348837209,0.25,NA,1,6.8,1,abacus,3.88,3.67,90,90,98,74,78,88,86,232,0.604166667,0.79,0.74,0.86,0.909090909,0.37,0.44,85.66666667,11
111,1,0.636363636,0.666666667,0.36,0.372093023,0.208333333,NA,0,6.2,0,control,3.04,4.25,91,92,93,93,78,86,88,234,0.458333333,0.82,0.47,0.65,0.44,0.36,0.37,88.16666667,10
114,1,0.818181818,0.916666667,0.36,0.372093023,0.125,NA,0,6.6,0,control,4.17,3.83,89,84,91,56,82,86,85,222,0.625,0.77,0.66,0.47,0.82,0.51,0.6,81.5,12
115,1,0.727272727,0.083333333,0.36,0.348837209,0.1875,NA,0,6.5,1,control,4.08,3.25,94,92,96,81,83,90,84,235,0.083333333,0.8,0.76,0.83,0.3,0.16,0.21,88,11
116,1,0,0.583333333,0.48,0.395348837,0.291666667,NA,1,6.9,1,abacus,3.92,5,91,91,94,76,78,92,87,235,0.458333333,0.88,0.43,0.55,0.44,0.44,0.4,86.33333333,10
119,1,0,0.833333333,0.36,0.302325581,0.145833333,NA,0,6.8,1,control,3.29,4,78,83,87,53,81,84,87,219,0.354166667,0.85,0.56,0.86,0.76,0.54,0.39,78.33333333,10
122,1,0.090909091,0.083333333,0.32,0.302325581,0.208333333,NA,0,6.7,0,control,2.33,2.75,79,70,90,54,81,84,87,230,0.229166667,0.66,0.65,0.95,0.47,0.19,0.26,79.16666667,15
123,1,0,0.666666667,0.28,0.372093023,0.125,NA,0,6.6,0,control,3.12,4.83,85,88,92,75,83,82,86,229,0.59375,0.85,0.94,0.84,0.93,0.16,0.17,83.83333333,12
124,1,0.545454545,0.166666667,0.36,0.395348837,0.166666667,NA,0,6.9,0,control,2.88,1.96,75,88,87,66,78,88,89,227,0.59375,0.81,0.73,0.77,0.934579439,0.32,0.27,80.5,13
127,1,0.272727273,0.5,0.2,0.325581395,0.104166667,NA,0,6.7,0,control,4,2.83,72,75,80,68,82,86,88,237,0.375,0.8,0.49,0.84,0.72,0.46,0.37,79.33333333,10
129,1,0.545454545,0.416666667,0.28,0.302325581,0.145833333,NA,1,5.9,0,abacus,4.46,3.75,91,87,95,87,74,80,87,236,0.135416667,0.86,0.47,1.12,0.79,0.56,0.43,85.66666667,12
131,1,0.090909091,0.583333333,0.28,0.279069767,0.229166667,NA,0,6.5,1,control,2.42,1.25,62,78,85,56,80,82,89,233,0.166666667,0.78,0.54,0.35,0.22,0.59,0.55,75.66666667,11
135,1,0.454545455,0.5,0.32,0.325581395,0.229166667,NA,0,7,0,control,2.96,1.92,81,89,97,66,74,86,85,232,0.166666667,0.79,0.58,0.91,0.38,0.15,0.15,81.5,10
136,1,0.363636364,0.5,0.28,0.279069767,0.1875,NA,1,6.7,0,abacus,3.12,3.67,91,83,92,79,79,88,86,235,0.291666667,0.83,0.61,0.66,0.66,0.29,0.25,85.83333333,9
137,1,0.090909091,0.083333333,0.24,0.325581395,0.104166667,NA,1,7,1,abacus,3.08,3,82,80,88,63,78,90,86,239,0.46875,0.78,1.57,1.02,0.389105058,0.26,0.2,81.16666667,14
138,1,0,0.416666667,0.24,0.302325581,0.083333333,NA,1,7.5,0,abacus,4.46,2.67,82,84,89,65,80,84,88,226,0.572916667,0.89,0.3,0.37,0.46,0.49,0.53,81.33333333,11
139,1,0,0.416666667,0.04,0.11627907,0.041666667,NA,0,6.2,1,control,1.42,1.58,53,48,57,51,78,80,85,224,-0.020833333,0.82,1.26,0.99,0.735294118,0.18,0.2,67.33333333,13
142,1,0,0.083333333,0.12,0.23255814,0.041666667,NA,1,5.7,1,abacus,2.71,4.25,41,64,66,56,73,90,87,226,0.125,0.9,0.53,0.45,0.17,0.57,0.5,68.83333333,7
145,1,0.090909091,0.916666667,0.16,0.255813953,0.0625,NA,1,6.8,1,abacus,4.5,5.92,51,71,48,64,81,90,89,225,0.4375,0.81,0.4,0.73,0.51,0.35,0.31,70.5,14
146,1,0.545454545,0.666666667,0.36,0.302325581,0.208333333,NA,0,7.3,0,control,2.92,4.17,92,94,94,80,82,92,85,237,0.395833333,0.88,0.44,0.3,0.19,0.63,0.71,87.5,13
148,1,0,0.666666667,0.2,0.325581395,0.145833333,NA,1,6.2,0,abacus,2.88,4.08,78,82,87,69,78,78,85,224,0.354166667,0.78,0.5,0.73,0.63,0.39,0.41,79.16666667,8
149,1,0.363636364,0.583333333,0.32,0.348837209,0.145833333,NA,0,6.6,1,control,4.08,3.21,86,83,92,66,79,90,84,217,0.375,0.69,2.01,0.75,0.628930818,0.27,0.38,82.83333333,12
151,1,0.363636364,0.583333333,0.36,0.348837209,0.229166667,NA,0,6.4,1,control,4.38,4.08,94,86,95,78,79,92,87,228,0.291666667,0.75,0.54,0.59,0.25,0.32,0.32,87.5,11
156,1,0,0.416666667,0.16,0.23255814,0.104166667,NA,0,8.4,0,control,2.96,2.04,74,60,84,62,82,82,88,232,0.239583333,0.72,0.68,0.54,0.04,0.01,0.02,78.66666667,6
157,1,0.636363636,0.833333333,0.44,0.348837209,0.104166667,NA,0,6.5,0,control,3.54,3.79,97,94,97,88,82,84,86,233,0.625,0.8,0.7,0.74,0.93,0.57,0.49,89,10
158,1,0.181818182,0.166666667,0.2,0.348837209,0.1875,NA,0,6,0,control,2.75,3.67,73,86,89,55,81,88,86,238,0.364583333,0.74,1.03,1.08,0.96,0.15,0.14,78.66666667,9
159,1,0,0.833333333,0.2,0.302325581,0.1875,NA,0,6.4,1,control,2.42,2.88,91,90,99,70,82,90,89,229,0.104166667,0.8,0.64,0.79,0.85,0.32,0.3,86.83333333,13
160,1,1,0.833333333,0.44,0.418604651,0.270833333,NA,0,6.7,0,control,5.38,4.46,93,95,98,84,85,90,85,236,0.645833333,0.84,1.76,0.9,0.254452926,0.4,0.28,89.16666667,12
